id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,1.0,1.0,,,vossen|rigau|agirre|soroa|monachini|bartolini,vossen|rigau|agirre|soroa|monachini|bartolini
P12-2071,1.0,1.0,1.0,,,choi|palmer,choi|palmer
W04-1217,1.0,1.0,1.0,,,finkel|dingare|nguyen|nissim|manning|sinclair,finkel|dingare|nguyen|nissim|manning|sinclair
P06-1087,1.0,1.0,1.0,,,goldberg|adler|elhadad,goldberg|adler|elhadad
N06-4007,1.0,1.0,1.0,,,pedersen|kulkarni,pedersen|kulkarni
L08-1192,1.0,1.0,1.0,,,melnar|liu,melnar|liu
W00-1404,1.0,1.0,1.0,,,brun|dymetman|lux,brun|dymetman|lux
P04-2010,1.0,1.0,1.0,,,kouchnir,kouchnir
E87-1010,0.5,0.5,0.5,drakos,frixou drakos,atwell|frixou drakos,atwell|drakos
W09-0503,1.0,1.0,1.0,,,matiasek|jancsary|klein|trost,matiasek|jancsary|klein|trost
P11-1008,1.0,1.0,1.0,,,rush|collins,rush|collins
W04-0845,0.4,0.4,0.4000000000000001,kong|hkust,ngai|wu,ngai|wu|carpuat|wang|wang,carpuat|wang|wang|kong|hkust
W06-1909,1.0,1.0,1.0,,,hartrumpf,hartrumpf
H89-1017,1.0,1.0,1.0,,,young,young
S13-1022,0.5,1.0,0.6666666666666666,agirre,,yeh,yeh|agirre
H94-1079,1.0,1.0,1.0,,,paul,paul
W96-0303,0.5,1.0,0.6666666666666666,stanford|csli,,briscoe|copestake,briscoe|copestake|stanford|csli
I05-4003,1.0,1.0,1.0,,,zhang|kashioka,zhang|kashioka
W10-1815,1.0,1.0,1.0,,,alm,alm
P07-2027,1.0,1.0,1.0,,,gupta|purver|jurafsky,gupta|purver|jurafsky
P13-1038,1.0,1.0,1.0,,,narisawa|watanabe|mizuno|okazaki|inui,narisawa|watanabe|mizuno|okazaki|inui
C10-2078,1.0,1.0,1.0,,,li|sporleder,li|sporleder
P08-2032,1.0,0.6666666666666666,0.8,,nakagawa,tsuchiya|hida|nakagawa,tsuchiya|hida
J13-1007,1.0,1.0,1.0,,,goldberg|elhadad,goldberg|elhadad
W11-2153,0.75,0.75,0.75,zabokrtsk´harles,zabokrtsky,popel|marecek|green|zabokrtsky,popel|marecek|green|zabokrtsk´harles
D08-1047,0.6,0.75,0.6666666666666665,ichi|,tsujii,okazaki|tsuruoka|ananiadou|tsujii,okazaki|tsuruoka|ananiadou|ichi|
P04-1039,1.0,1.0,1.0,,,diab,diab
J03-3004,1.0,1.0,1.0,,,way|gough,way|gough
C10-2109,1.0,1.0,1.0,,,parton|mckeown,parton|mckeown
N12-1038,1.0,1.0,1.0,,,scaiano|inkpen,scaiano|inkpen
P06-1091,1.0,1.0,1.0,,,tillmann|zhang,tillmann|zhang
W00-1006,1.0,1.0,1.0,,,schauer,schauer
W97-1409,-1,0.0,-1,,andre|rist,andre|rist,
