id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,1.0,1.0,,,KYOTO: an open platform for mining facts,KYOTO: an open platform for mining facts
P12-2071,1.0,1.0,1.0,,,Fast and Robust Part-of-Speech Tagging Using Dynamic Model Selection,Fast and Robust Part-of-Speech Tagging Using Dynamic Model Selection
W04-1217,0.0,0.0,0.0,Exploiting Context for Biomedical Entity Recognition: From Syntax to the Web,Exploiting Context For Biomedical Entity Recognition: From Syntax To The Web,Exploiting Context For Biomedical Entity Recognition: From Syntax To The Web,Exploiting Context for Biomedical Entity Recognition: From Syntax to the Web
P06-1087,0.0,0.0,0.0,Noun Phrase Chunking in Hebrew Influence of Lexical and Morphological Features,Noun Phrase Chunking In Hebrew: Influence Of Lexical And Morphological Features,Noun Phrase Chunking In Hebrew: Influence Of Lexical And Morphological Features,Noun Phrase Chunking in Hebrew Influence of Lexical and Morphological Features
N06-4007,0.0,0.0,0.0,Automatic Cluster Stopping with Criterion Functions and the Gap Statistic,Automatic Cluster Stopping With Criterion Functions And The Gap Statistic,Automatic Cluster Stopping With Criterion Functions And The Gap Statistic,Automatic Cluster Stopping with Criterion Functions and the Gap Statistic
L08-1192,0.0,0.0,0.0,Borrowing Language Resources for Development of Automatic Speech Recognition for Low-and Middle-Density Languages,Borrowing Language Resources for Development of Automatic Speech Recognition for Low- and Middle-Density Languages,Borrowing Language Resources for Development of Automatic Speech Recognition for Low- and Middle-Density Languages,Borrowing Language Resources for Development of Automatic Speech Recognition for Low-and Middle-Density Languages
W00-1404,0.0,0.0,0.0,Document Structure and Multilingual Authoring,Document Structure And Multilingual Authoring,Document Structure And Multilingual Authoring,Document Structure and Multilingual Authoring
P04-2010,0.0,0.0,0.0,A Machine Learning Approach to German Pronoun Resolution,A Machine Learning Approach To German Pronoun Resolution,A Machine Learning Approach To German Pronoun Resolution,A Machine Learning Approach to German Pronoun Resolution
E87-1010,0.0,0.0,0.0,PATI'ERN RECOGNITION APPLIED TO THE ACQUISITION OF A GRAMMATICAL CLASSIFICATION SYSTEM FROM UNRESTRICTED ENGLISH TEXT,Pattern Recognition Applied To The Acquisition Of A Grammatical Classification System From Unrestricted English Text,Pattern Recognition Applied To The Acquisition Of A Grammatical Classification System From Unrestricted English Text,PATI'ERN RECOGNITION APPLIED TO THE ACQUISITION OF A GRAMMATICAL CLASSIFICATION SYSTEM FROM UNRESTRICTED ENGLISH TEXT
W09-0503,1.0,1.0,1.0,,,Identifying Segment Topics in Medical Dictations,Identifying Segment Topics in Medical Dictations
P11-1008,1.0,1.0,1.0,,,Exact Decoding of Syntactic Translation Models through Lagrangian Relaxation,Exact Decoding of Syntactic Translation Models through Lagrangian Relaxation
W04-0845,0.0,0.0,0.0,Semantic Role Labeling with Boosting, SVMs, Maximum Entropy, SNOW, and Decision Lists Grace NGAI †1 , Dekai WU ‡2,Semantic Role Labeling With Boosting, SVMs, Maximum Entropy, SNOW, And Decision Lists,Semantic Role Labeling With Boosting, SVMs, Maximum Entropy, SNOW, And Decision Lists,Semantic Role Labeling with Boosting, SVMs, Maximum Entropy, SNOW, and Decision Lists Grace NGAI †1 , Dekai WU ‡2
W06-1909,0.0,0.0,0.0,Adapting a Semantic Question Answering System to the Web,Adapting A Semantic Question Answering System To The Web,Adapting A Semantic Question Answering System To The Web,Adapting a Semantic Question Answering System to the Web
H89-1017,0.0,0.0,0.0,THE MINDS SYSTEM: USING CONTEXT AND DIALOG TO ENHANCE SPEECH RECOGNITION,The MINDS System: Using Context And Dialog To Enhance Speech Recognition,The MINDS System: Using Context And Dialog To Enhance Speech Recognition,THE MINDS SYSTEM: USING CONTEXT AND DIALOG TO ENHANCE SPEECH RECOGNITION
S13-1022,1.0,1.0,1.0,,,SRIUBC-Core: Multiword Soft Similarity Models for Textual Similarity,SRIUBC-Core: Multiword Soft Similarity Models for Textual Similarity
H94-1079,0.0,0.0,0.0,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR*,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR*
W96-0303,0.0,0.0,0.0,Controlling the application of lexical rules,Controlling The Application Of Lexical Rules,Controlling The Application Of Lexical Rules,Controlling the application of lexical rules
I05-4003,1.0,1.0,1.0,,,Corpus-oriented Acquisition of Chinese Grammar,Corpus-oriented Acquisition of Chinese Grammar
W10-1815,0.0,0.0,0.0,Characteristics of high agreement affect annotation in text,Characteristics of High Agreement Affect Annotation in Text,Characteristics of High Agreement Affect Annotation in Text,Characteristics of high agreement affect annotation in text
P07-2027,0.0,0.0,0.0,Disambiguating Between Generic and Referential " You " in Dialog *,Disambiguating Between Generic and Referential "You" in Dialog,Disambiguating Between Generic and Referential "You" in Dialog,Disambiguating Between Generic and Referential " You " in Dialog *
P13-1038,1.0,1.0,1.0,,,Is a 204 cm Man Tall or Small ? Acquisition of Numerical Common Sense from the Web,Is a 204 cm Man Tall or Small ? Acquisition of Numerical Common Sense from the Web
C10-2078,1.0,1.0,1.0,,,Linguistic Cues for Distinguishing Literal and Non-Literal Usages,Linguistic Cues for Distinguishing Literal and Non-Literal Usages
P08-2032,1.0,1.0,1.0,,,Robust Extraction of Named Entity Including Unfamiliar Word,Robust Extraction of Named Entity Including Unfamiliar Word
J13-1007,1.0,1.0,1.0,,,Word Segmentation, Unknown-word Resolution, and Morphological Agreement in a Hebrew Parsing System,Word Segmentation, Unknown-word Resolution, and Morphological Agreement in a Hebrew Parsing System
W11-2153,1.0,1.0,1.0,,,Influence of Parser Choice on Dependency-Based MT,Influence of Parser Choice on Dependency-Based MT
D08-1047,1.0,1.0,1.0,,,A Discriminative Candidate Generator for String Transformations,A Discriminative Candidate Generator for String Transformations
P04-1039,1.0,1.0,1.0,,,Relieving The Data Acquisition Bottleneck In Word Sense Disambiguation,Relieving The Data Acquisition Bottleneck In Word Sense Disambiguation
J03-3004,0.0,0.0,0.0,wEBMT: Developing and Validating an Example-Based Machine Translation System Using the World Wide Web,WEBMT: Developing And Validating An Example-Based Machine Translation System Using The World Wide Web,WEBMT: Developing And Validating An Example-Based Machine Translation System Using The World Wide Web,wEBMT: Developing and Validating an Example-Based Machine Translation System Using the World Wide Web
C10-2109,1.0,1.0,1.0,,,MT Error Detection for Cross-Lingual Question Answering,MT Error Detection for Cross-Lingual Question Answering
N12-1038,1.0,1.0,1.0,,,Getting More from Segmentation Evaluation,Getting More from Segmentation Evaluation
P06-1091,0.0,0.0,0.0,A Discriminative Global Training Algorithm for Statistical MT,A Discriminative Global Training Algorithm For Statistical MT,A Discriminative Global Training Algorithm For Statistical MT,A Discriminative Global Training Algorithm for Statistical MT
W00-1006,0.0,0.0,0.0,From Elementary Discourse Units to Complex Ones,From Elementary Discourse Units To Complex Ones,From Elementary Discourse Units To Complex Ones,From Elementary Discourse Units to Complex Ones
W97-1409,0.0,0.0,0.0,Planning Referential Acts for Animated Presentation Agents,Planning Referential Acts For Animated Presentation Agents,Planning Referential Acts For Animated Presentation Agents,Planning Referential Acts for Animated Presentation Agents
W02-1906,0.0,0.0,0.0,Passage Selection to Improve Question Answering,Passage Selection To Improve Question Answering,Passage Selection To Improve Question Answering,Passage Selection to Improve Question Answering
D07-1063,1.0,1.0,1.0,,,Japanese Dependency Analysis Using the Ancestor-Descendant Relation,Japanese Dependency Analysis Using the Ancestor-Descendant Relation
P08-1035,1.0,1.0,1.0,,,A Generic Sentence Trimmer with CRFs,A Generic Sentence Trimmer with CRFs
S10-1097,1.0,1.0,1.0,,,Twitter Based System: Using Twitter for Disambiguating Sentiment Ambiguous Adjectives,Twitter Based System: Using Twitter for Disambiguating Sentiment Ambiguous Adjectives
P06-2041,0.0,0.0,0.0,Discriminative Classifiers for Deterministic Dependency Parsing,Discriminative Classifiers For Deterministic Dependency Parsing,Discriminative Classifiers For Deterministic Dependency Parsing,Discriminative Classifiers for Deterministic Dependency Parsing
C02-1066,0.0,0.0,0.0,Guaranteeing Parsing Termination of Unification Grammars,Guaranteeing Parsing Termination Of Unification Grammars,Guaranteeing Parsing Termination Of Unification Grammars,Guaranteeing Parsing Termination of Unification Grammars
E89-1007,0.0,0.0,0.0,ON THE GENERATIVE POWER OF TWO.LEVEL MORPHOLOGICAL RULES,On The Generative Power Of Two-Level Morphological Rules,On The Generative Power Of Two-Level Morphological Rules,ON THE GENERATIVE POWER OF TWO.LEVEL MORPHOLOGICAL RULES
W11-2037,1.0,1.0,1.0,,,Error Return Plots,Error Return Plots
P10-1050,1.0,1.0,1.0,,,Efficient Staggered Decoding for Sequence Labeling,Efficient Staggered Decoding for Sequence Labeling
