id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,1.0,1.0,,,proceedings of the 6th workshop on ontologies and lexical resources,proceedings of the 6th workshop on ontologies and lexical resources
P12-2071,0.0,0.0,0.0,proceedings of the 50th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 50th annual meeting of the association for computational linguistics
W04-1217,0.0,0.0,0.0,anlp 6,international joint workshop on natural language processing in biomedicine and its applications nlpba bionlp,international joint workshop on natural language processing in biomedicine and its applications nlpba bionlp,anlp 6
P06-1087,0.0,0.0,0.0,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl,international conference on computational linguistics and annual meeting of the association for computational linguistics,international conference on computational linguistics and annual meeting of the association for computational linguistics,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl
N06-4007,0.0,0.0,0.0,proceedings of the human language technology conference of the naacl, companion volume,human language technology conference and meeting of the north american association for computational linguistics - demonstrations,human language technology conference and meeting of the north american association for computational linguistics - demonstrations,proceedings of the human language technology conference of the naacl, companion volume
L08-1192,-1,0.0,-1,,lrec,lrec,
W00-1404,0.0,0.0,0.0,i::indications, cl::contraindications, w::warnings, di::drugsinteraction, pabf::pregnancyandbreastfeeding,international conference on natural language generation,international conference on natural language generation,i::indications, cl::contraindications, w::warnings, di::drugsinteraction, pabf::pregnancyandbreastfeeding
P04-2010,0.0,0.0,0.0,proceedings of the joint sigdat con- ference on empirical methods in natural language processing and very large corpora,annual meeting of the association for computational linguistics - student research workshop,annual meeting of the association for computational linguistics - student research workshop,proceedings of the joint sigdat con- ference on empirical methods in natural language processing and very large corpora
E87-1010,-1,0.0,-1,,conference of the european association for computational linguistics,conference of the european association for computational linguistics,
W09-0503,0.0,0.0,0.0,proceedings of eacl 2009 workshop on semantic representation of spoken language -srsl 2009,proceedings of srsl 2009, the 2nd workshop on semantic representation of spoken language,proceedings of srsl 2009, the 2nd workshop on semantic representation of spoken language,proceedings of eacl 2009 workshop on semantic representation of spoken language -srsl 2009
P11-1008,0.0,0.0,0.0,proceedings of the 49th annual meeting of the association for computational linguistics,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics
W04-0845,0.0,0.0,0.0,proceedings of the thirty-sixth annual meeting of the associa- tion for computational linguistics and seventeenth international conference on computational linguis- tics,senseval international workshop on the evaluation of systems for the semantic analysis of text,senseval international workshop on the evaluation of systems for the semantic analysis of text,proceedings of the thirty-sixth annual meeting of the associa- tion for computational linguistics and seventeenth international conference on computational linguis- tics
W06-1909,0.0,0.0,0.0,proceedings of the 39th annual meeting of the association for computational linguistics (acl-2001),workshop on multilingual question answering mlqa,workshop on multilingual question answering mlqa,proceedings of the 39th annual meeting of the association for computational linguistics (acl-2001)
H89-1017,0.0,0.0,0.0,artificial intelligence,workshop on speech and natural language,workshop on speech and natural language,artificial intelligence
S13-1022,0.0,0.0,0.0,second joint conference on lexical and computational semantics (*sem) proceedings of the main conference and the shared task,*sem,*sem,second joint conference on lexical and computational semantics (*sem) proceedings of the main conference and the shared task
H94-1079,0.0,0.0,0.0,ieee trans. speech and audio processing,human language technology conference,human language technology conference,ieee trans. speech and audio processing
W96-0303,0.0,0.0,0.0,linguistic inquiry monograph,workshop on breadth and depth of semantic lexicons,workshop on breadth and depth of semantic lexicons,linguistic inquiry monograph
I05-4003,0.0,0.0,0.0,ieee transactions on knowl- edge and data engineering,proceedings of the fifth workshop on asian language resources (alr-05) and first symposium on asian language resources network (alrn),proceedings of the fifth workshop on asian language resources (alr-05) and first symposium on asian language resources network (alrn),ieee transactions on knowl- edge and data engineering
W10-1815,0.0,0.0,0.0,proceedings of the fourth linguistic annotation workshop, acl 2010,proceedings of the fourth linguistic annotation workshop,proceedings of the fourth linguistic annotation workshop,proceedings of the fourth linguistic annotation workshop, acl 2010
