Metric	Precision	Recall	F1
venueNonEmpty	0.999398242869178	0.9642359498374361	0.9815022752792388
venueNormalized	0.04212299915754002	0.040640966093822575	0.04136871343301223
authorLastNameNormalized	0.8979822432839826	0.8935921465366651	0.8957818161357778
year	0.9965616045845272	0.4036207496808634	0.5745436524324772
yearNonEmpty	1.0	0.40501334571196473	0.5765259767076898
authorLastNameNormalizedFirstInitial	0.887099824991112	0.880759197246715	0.8839181404271086
authorFullName	0.766386291387843	0.7603827143153657	0.7633726991872876
titleNonEmpty	1.0	0.9875826853893467	0.993752554446196
venueExact	0.041160187748224816	0.03971202972596377	0.040423142840257664
titleExact	0.5136310223266745	0.5072531043286527	0.5104221404799438
titleNormalized	0.9243243243243243	0.9128466983869096	0.9185496584340515
bibliography	0.2664462056492081	0.7598441937327943	0.39454252407817125
