id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,0.6666666666666666,0.8,,Aitor Soroa|Piek Vossen,Piek Vossen|German Rigau|Eneko Agirre|Aitor Soroa|Monica Monachini|Roberto Bartolini,German Rigau|Eneko Agirre|Monica Monachini|Roberto Bartolini
P12-2071,-1,0.0,-1,,Jinho D Choi|Martha Palmer,Jinho D Choi|Martha Palmer,
W04-1217,0.0,0.0,0.0,Huy Nguyen|Christopher Manning Malvina Nissim,Shipra Dingare|Malvina Nissim|Christopher D Manning|Jenny Rose Finkel|Gail Sinclair|Huy Nguyen,Jenny Rose Finkel|Shipra Dingare|Huy Nguyen|Malvina Nissim|Christopher D Manning|Gail Sinclair,Huy Nguyen|Christopher Manning Malvina Nissim
P06-1087,0.0,0.0,0.0,Features|Yoav Goldberg And Meni Adler And Michael Elhadad,Yoav Goldberg|Meni Adler|Michael Elhadad,Yoav Goldberg|Meni Adler|Michael Elhadad,Features|Yoav Goldberg And Meni Adler And Michael Elhadad
N06-4007,-1,0.0,-1,,Ted Pedersen|Anagha Kulkarni,Ted Pedersen|Anagha Kulkarni,
L08-1192,-1,0.0,-1,,Lynette Melnar|Chen Liu,Lynette Melnar|Chen Liu,
W00-1404,0.75,1.0,0.8571428571428571,Authoring,,Caroline Brun|Marc Dymetman|Veronika Lux,Authoring|Caroline Brun|Marc Dymetman|Veronika Lux
P04-2010,-1,0.0,-1,,Beata Kouchnir,Beata Kouchnir,
E87-1010,0.0,0.0,0.0,Text Eric Steven Atwell And Nicos Frixou,Eric Steven Atwell|Nicos Frixou Drakos,Eric Steven Atwell|Nicos Frixou Drakos,Text Eric Steven Atwell And Nicos Frixou
W09-0503,0.0,0.0,0.0,Jeremy Jancsary Alexandra Klein Dictations Johannes Matiasek|Firstname. Lastname@ofai. At Harald Trost,Johannes Matiasek|Jeremy Jancsary|Alexandra Klein|Harald Trost,Johannes Matiasek|Jeremy Jancsary|Alexandra Klein|Harald Trost,Jeremy Jancsary Alexandra Klein Dictations Johannes Matiasek|Firstname. Lastname@ofai. At Harald Trost
P11-1008,-1,0.0,-1,,Alexander M Rush|Michael John Collins,Alexander M Rush|Michael John Collins,
W04-0845,-1,0.0,-1,,Chi Shing Wang|Dekai Wu|Chi Yung Wang|Marine Carpuat|Grace Ngai,Grace Ngai|Dekai Wu|Marine Carpuat|Chi Shing Wang|Chi Yung Wang,
W06-1909,-1,0.0,-1,,Sven Hartrumpf,Sven Hartrumpf,
H89-1017,0.0,0.0,0.0,Alexander G Hauptmann|Sheryl R. Young|Wayne H Ward|And Philip Werner|Edward T Smith,Sheryl R Young,Sheryl R Young,Sheryl R. Young|Alexander G Hauptmann|Wayne H Ward|Edward T Smith|And Philip Werner
S13-1022,-1,0.0,-1,,Eric Yeh,Eric Yeh,
H94-1079,-1,0.0,-1,,Douglas B Paul,Douglas B Paul,
W96-0303,-1,0.0,-1,,Ted Briscoe|Ann Copestake,Ted Briscoe|Ann Copestake,
I05-4003,1.0,1.0,1.0,,,Yan Zhang|Hideki Kashioka,Yan Zhang|Hideki Kashioka
