id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,-1,0.0,-1,,KYOTO: an open platform for mining facts,KYOTO: an open platform for mining facts,
P12-2071,0.0,0.0,0.0,and Robust Part-of - Speech Tagging Using Dynamic Model Selection,Fast and Robust Part-of-Speech Tagging Using Dynamic Model Selection,Fast and Robust Part-of-Speech Tagging Using Dynamic Model Selection,and Robust Part-of - Speech Tagging Using Dynamic Model Selection
W04-1217,-1,0.0,-1,,Exploiting Context For Biomedical Entity Recognition: From Syntax To The Web,Exploiting Context For Biomedical Entity Recognition: From Syntax To The Web,
P06-1087,-1,0.0,-1,,Noun Phrase Chunking In Hebrew: Influence Of Lexical And Morphological Features,Noun Phrase Chunking In Hebrew: Influence Of Lexical And Morphological Features,
N06-4007,-1,0.0,-1,,Automatic Cluster Stopping With Criterion Functions And The Gap Statistic,Automatic Cluster Stopping With Criterion Functions And The Gap Statistic,
L08-1192,-1,0.0,-1,,Borrowing Language Resources for Development of Automatic Speech Recognition for Low- and Middle-Density Languages,Borrowing Language Resources for Development of Automatic Speech Recognition for Low- and Middle-Density Languages,
W00-1404,-1,0.0,-1,,Document Structure And Multilingual Authoring,Document Structure And Multilingual Authoring,
P04-2010,-1,0.0,-1,,A Machine Learning Approach To German Pronoun Resolution,A Machine Learning Approach To German Pronoun Resolution,
E87-1010,0.0,0.0,0.0,PATI ' ERN RECOGNITION APPLIED TO THE ACQUISITION OF A GRAMMATICAL CLASSIFICATION SYSTEM FROM UNRESTRICTED ENGLISH,Pattern Recognition Applied To The Acquisition Of A Grammatical Classification System From Unrestricted English Text,Pattern Recognition Applied To The Acquisition Of A Grammatical Classification System From Unrestricted English Text,PATI ' ERN RECOGNITION APPLIED TO THE ACQUISITION OF A GRAMMATICAL CLASSIFICATION SYSTEM FROM UNRESTRICTED ENGLISH
W09-0503,0.0,0.0,0.0,Proceedings of EACL 2009 Workshop on Semantic Representation of Spoken Language -,Identifying Segment Topics in Medical Dictations,Identifying Segment Topics in Medical Dictations,Proceedings of EACL 2009 Workshop on Semantic Representation of Spoken Language -
P11-1008,-1,0.0,-1,,Exact Decoding of Syntactic Translation Models through Lagrangian Relaxation,Exact Decoding of Syntactic Translation Models through Lagrangian Relaxation,
W04-0845,-1,0.0,-1,,Semantic Role Labeling With Boosting, SVMs, Maximum Entropy, SNOW, And Decision Lists,Semantic Role Labeling With Boosting, SVMs, Maximum Entropy, SNOW, And Decision Lists,
W06-1909,-1,0.0,-1,,Adapting A Semantic Question Answering System To The Web,Adapting A Semantic Question Answering System To The Web,
H89-1017,0.0,0.0,0.0,THE MINDS SYSTEM : USING CONTEXT AND DIALOG TO ENHANCE SPEECH RECOGNITION,The MINDS System: Using Context And Dialog To Enhance Speech Recognition,The MINDS System: Using Context And Dialog To Enhance Speech Recognition,THE MINDS SYSTEM : USING CONTEXT AND DIALOG TO ENHANCE SPEECH RECOGNITION
S13-1022,0.0,0.0,0.0,- Core : Multiword Soft Similarity Models for Textual,SRIUBC-Core: Multiword Soft Similarity Models for Textual Similarity,SRIUBC-Core: Multiword Soft Similarity Models for Textual Similarity,- Core : Multiword Soft Similarity Models for Textual
H94-1079,-1,0.0,-1,,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR,The Lincoln Large-Vocabulary Stack-Decoder Based HMM CSR,
W96-0303,-1,0.0,-1,,Controlling The Application Of Lexical Rules,Controlling The Application Of Lexical Rules,
I05-4003,0.0,0.0,0.0,NNP Noun Phrase TNP Temporal Noun Phrase LP Localizer Phrase NSP Location Phrase VP Verb Phrase AP Adjective Phrase DP Adverbial Phrase QP Quantifier Phrase PP Preposition Phrase VBAP Phrase with “ ᡞ ( BA ) ” DENP Nominal Phrase Ending by “ ⱘ ( DE ) ” DEP,Corpus-oriented Acquisition of Chinese Grammar,Corpus-oriented Acquisition of Chinese Grammar,NNP Noun Phrase TNP Temporal Noun Phrase LP Localizer Phrase NSP Location Phrase VP Verb Phrase AP Adjective Phrase DP Adverbial Phrase QP Quantifier Phrase PP Preposition Phrase VBAP Phrase with “ ᡞ ( BA ) ” DENP Nominal Phrase Ending by “ ⱘ ( DE ) ” DEP
W10-1815,-1,0.0,-1,,Characteristics of High Agreement Affect Annotation in Text,Characteristics of High Agreement Affect Annotation in Text,
P07-2027,-1,0.0,-1,,Disambiguating Between Generic and Referential "You" in Dialog,Disambiguating Between Generic and Referential "You" in Dialog,
P13-1038,-1,0.0,-1,,Is a 204 cm Man Tall or Small ? Acquisition of Numerical Common Sense from the Web,Is a 204 cm Man Tall or Small ? Acquisition of Numerical Common Sense from the Web,
C10-2078,-1,0.0,-1,,Linguistic Cues for Distinguishing Literal and Non-Literal Usages,Linguistic Cues for Distinguishing Literal and Non-Literal Usages,
P08-2032,0.0,0.0,0.0,Extraction of Named Entity Including,Robust Extraction of Named Entity Including Unfamiliar Word,Robust Extraction of Named Entity Including Unfamiliar Word,Extraction of Named Entity Including
J13-1007,0.0,0.0,0.0,Word Segmentation , Unknown - word Resolution , and Morphological Agreement in a Hebrew Parsing System,Word Segmentation, Unknown-word Resolution, and Morphological Agreement in a Hebrew Parsing System,Word Segmentation, Unknown-word Resolution, and Morphological Agreement in a Hebrew Parsing System,Word Segmentation , Unknown - word Resolution , and Morphological Agreement in a Hebrew Parsing System
W11-2153,0.0,0.0,0.0,of Parser Choice on Dependency -,Influence of Parser Choice on Dependency-Based MT,Influence of Parser Choice on Dependency-Based MT,of Parser Choice on Dependency -
