id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,-1,0.0,-1,,kyoto an open platform for mining facts,kyoto an open platform for mining facts,
P12-2071,0.0,0.0,0.0,and robust part of speech tagging using dynamic model selection,fast and robust part of speech tagging using dynamic model selection,fast and robust part of speech tagging using dynamic model selection,and robust part of speech tagging using dynamic model selection
W04-1217,-1,0.0,-1,,exploiting context for biomedical entity recognition from syntax to the web,exploiting context for biomedical entity recognition from syntax to the web,
P06-1087,-1,0.0,-1,,noun phrase chunking in hebrew influence of lexical and morphological features,noun phrase chunking in hebrew influence of lexical and morphological features,
N06-4007,-1,0.0,-1,,automatic cluster stopping with criterion functions and the gap statistic,automatic cluster stopping with criterion functions and the gap statistic,
L08-1192,-1,0.0,-1,,borrowing language resources for development of automatic speech recognition for low and middle density languages,borrowing language resources for development of automatic speech recognition for low and middle density languages,
W00-1404,-1,0.0,-1,,document structure and multilingual authoring,document structure and multilingual authoring,
P04-2010,-1,0.0,-1,,a machine learning approach to german pronoun resolution,a machine learning approach to german pronoun resolution,
E87-1010,0.0,0.0,0.0,pati ern recognition applied to the acquisition of a grammatical classification system from unrestricted english,pattern recognition applied to the acquisition of a grammatical classification system from unrestricted english text,pattern recognition applied to the acquisition of a grammatical classification system from unrestricted english text,pati ern recognition applied to the acquisition of a grammatical classification system from unrestricted english
W09-0503,0.0,0.0,0.0,proceedings of eacl 2009 workshop on semantic representation of spoken language,identifying segment topics in medical dictations,identifying segment topics in medical dictations,proceedings of eacl 2009 workshop on semantic representation of spoken language
P11-1008,-1,0.0,-1,,exact decoding of syntactic translation models through lagrangian relaxation,exact decoding of syntactic translation models through lagrangian relaxation,
W04-0845,-1,0.0,-1,,semantic role labeling with boosting svms maximum entropy snow and decision lists,semantic role labeling with boosting svms maximum entropy snow and decision lists,
W06-1909,-1,0.0,-1,,adapting a semantic question answering system to the web,adapting a semantic question answering system to the web,
H89-1017,1.0,1.0,1.0,,,the minds system using context and dialog to enhance speech recognition,the minds system using context and dialog to enhance speech recognition
S13-1022,0.0,0.0,0.0,core multiword soft similarity models for textual,sriubc core multiword soft similarity models for textual similarity,sriubc core multiword soft similarity models for textual similarity,core multiword soft similarity models for textual
H94-1079,-1,0.0,-1,,the lincoln large vocabulary stack decoder based hmm csr,the lincoln large vocabulary stack decoder based hmm csr,
W96-0303,-1,0.0,-1,,controlling the application of lexical rules,controlling the application of lexical rules,
I05-4003,0.0,0.0,0.0,nnp noun phrase tnp temporal noun phrase lp localizer phrase nsp location phrase vp verb phrase ap adjective phrase dp adverbial phrase qp quantifier phrase pp preposition phrase vbap phrase with “ ᡞ ba ” denp nominal phrase ending by “ ⱘ de ” dep,corpus oriented acquisition of chinese grammar,corpus oriented acquisition of chinese grammar,nnp noun phrase tnp temporal noun phrase lp localizer phrase nsp location phrase vp verb phrase ap adjective phrase dp adverbial phrase qp quantifier phrase pp preposition phrase vbap phrase with “ ᡞ ba ” denp nominal phrase ending by “ ⱘ de ” dep
W10-1815,-1,0.0,-1,,characteristics of high agreement affect annotation in text,characteristics of high agreement affect annotation in text,
P07-2027,-1,0.0,-1,,disambiguating between generic and referential you in dialog,disambiguating between generic and referential you in dialog,
P13-1038,-1,0.0,-1,,is a 204 cm man tall or small acquisition of numerical common sense from the web,is a 204 cm man tall or small acquisition of numerical common sense from the web,
C10-2078,-1,0.0,-1,,linguistic cues for distinguishing literal and non literal usages,linguistic cues for distinguishing literal and non literal usages,
P08-2032,0.0,0.0,0.0,extraction of named entity including,robust extraction of named entity including unfamiliar word,robust extraction of named entity including unfamiliar word,extraction of named entity including
J13-1007,1.0,1.0,1.0,,,word segmentation unknown word resolution and morphological agreement in a hebrew parsing system,word segmentation unknown word resolution and morphological agreement in a hebrew parsing system
W11-2153,0.0,0.0,0.0,of parser choice on dependency,influence of parser choice on dependency based mt,influence of parser choice on dependency based mt,of parser choice on dependency
D08-1047,-1,0.0,-1,,a discriminative candidate generator for string transformations,a discriminative candidate generator for string transformations,
P04-1039,1.0,1.0,1.0,,,relieving the data acquisition bottleneck in word sense disambiguation,relieving the data acquisition bottleneck in word sense disambiguation
J03-3004,1.0,1.0,1.0,,,webmt developing and validating an example based machine translation system using the world wide web,webmt developing and validating an example based machine translation system using the world wide web
C10-2109,-1,0.0,-1,,mt error detection for cross lingual question answering,mt error detection for cross lingual question answering,
N12-1038,-1,0.0,-1,,getting more from segmentation evaluation,getting more from segmentation evaluation,
P06-1091,-1,0.0,-1,,a discriminative global training algorithm for statistical mt,a discriminative global training algorithm for statistical mt,
W00-1006,-1,0.0,-1,,from elementary discourse units to complex ones,from elementary discourse units to complex ones,
W97-1409,1.0,1.0,1.0,,,planning referential acts for animated presentation agents,planning referential acts for animated presentation agents
W02-1906,-1,0.0,-1,,passage selection to improve question answering,passage selection to improve question answering,
D07-1063,-1,0.0,-1,,japanese dependency analysis using the ancestor descendant relation,japanese dependency analysis using the ancestor descendant relation,
P08-1035,-1,0.0,-1,,a generic sentence trimmer with crfs,a generic sentence trimmer with crfs,
S10-1097,-1,0.0,-1,,twitter based system using twitter for disambiguating sentiment ambiguous adjectives,twitter based system using twitter for disambiguating sentiment ambiguous adjectives,
P06-2041,-1,0.0,-1,,discriminative classifiers for deterministic dependency parsing,discriminative classifiers for deterministic dependency parsing,
C02-1066,0.0,0.0,0.0,guaranteeing parsing termination of grammars,guaranteeing parsing termination of unification grammars,guaranteeing parsing termination of unification grammars,guaranteeing parsing termination of grammars
