id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,-1,0.0,-1,,2010,2010,
P12-2071,1.0,1.0,1.0,,,2012,2012
W04-1217,-1,0.0,-1,,2004,2004,
P06-1087,1.0,1.0,1.0,,,2006,2006
N06-4007,0.0,0.0,0.0,1975,2006,2006,1975
L08-1192,0.0,0.0,0.0,1988,2008,2008,1988
W00-1404,0.0,0.0,0.0,1996,2000,2000,1996
P04-2010,0.0,0.0,0.0,1999,2004,2004,1999
E87-1010,0.0,0.0,0.0,1986,1987,1987,1986
W09-0503,1.0,1.0,1.0,,,2009,2009
P11-1008,0.0,0.0,0.0,1964,2011,2011,1964
W04-0845,0.0,0.0,0.0,1998,2004,2004,1998
W06-1909,-1,0.0,-1,,2006,2006,
H89-1017,0.0,0.0,0.0,1980,1989,1989,1980
S13-1022,-1,0.0,-1,,2013,2013,
H94-1079,0.0,0.0,0.0,1983,1994,1994,1983
W96-0303,0.0,0.0,0.0,1995,1996,1996,1995
I05-4003,-1,0.0,-1,,2005,2005,
W10-1815,1.0,1.0,1.0,,,2010,2010
P07-2027,0.0,0.0,0.0,2006,2007,2007,2006
P13-1038,1.0,1.0,1.0,,,2013,2013
C10-2078,1.0,1.0,1.0,,,2010,2010
P08-2032,0.0,0.0,0.0,2003,2008,2008,2003
J13-1007,0.0,0.0,0.0,2003,2013,2013,2003
W11-2153,-1,0.0,-1,,2011,2011,
D08-1047,-1,0.0,-1,,2008,2008,
P04-1039,0.0,0.0,0.0,2000,2004,2004,2000
J03-3004,-1,0.0,-1,,2003,2003,
C10-2109,1.0,1.0,1.0,,,2010,2010
N12-1038,-1,0.0,-1,,2012,2012,
P06-1091,0.0,0.0,0.0,2004,2006,2006,2004
W00-1006,0.0,0.0,0.0,1993,2000,2000,1993
W97-1409,0.0,0.0,0.0,1987,1997,1997,1987
W02-1906,0.0,0.0,0.0,1994,2002,2002,1994
D07-1063,-1,0.0,-1,,2007,2007,
P08-1035,-1,0.0,-1,,2008,2008,
S10-1097,1.0,1.0,1.0,,,2010,2010
P06-2041,0.0,0.0,0.0,1992,2006,2006,1992
C02-1066,0.0,0.0,0.0,1992,2002,2002,1992
E89-1007,-1,0.0,-1,,1989,1989,
W11-2037,0.0,0.0,0.0,2010,2011,2011,2010
P10-1050,1.0,1.0,1.0,,,2010,2010
W02-0708,0.0,0.0,0.0,1993,2002,2002,1993
P13-1083,1.0,1.0,1.0,,,2013,2013
N12-1077,-1,0.0,-1,,2012,2012,
W05-1202,-1,0.0,-1,,2005,2005,
W09-3415,0.0,0.0,0.0,2007,2009,2009,2007
H91-1021,0.0,0.0,0.0,1990,1991,1991,1990
P94-1003,0.0,0.0,0.0,1993,1994,1994,1993
W06-1515,0.0,0.0,0.0,2003,2006,2006,2003
C10-1050,-1,0.0,-1,,2010,2010,
P09-1025,1.0,1.0,1.0,,,2009,2009
P06-2125,-1,0.0,-1,,2006,2006,
L08-1554,0.0,0.0,0.0,1998,2008,2008,1998
W08-0125,-1,0.0,-1,,2008,2008,
W03-0418,0.0,0.0,0.0,1995,2003,2003,1995
I05-1049,0.0,0.0,0.0,1988,2005,2005,1988
C10-1034,1.0,1.0,1.0,,,2010,2010
W07-2062,0.0,0.0,0.0,2002,2007,2007,2002
L08-1229,-1,0.0,-1,,2008,2008,
D13-1035,1.0,1.0,1.0,,,2013,2013
W04-1313,0.0,0.0,0.0,1996,2004,2004,1996
W07-0720,0.0,0.0,0.0,2006,2007,2007,2006
P13-2013,-1,0.0,-1,,2013,2013,
W06-1627,0.0,0.0,0.0,1993,2006,2006,1993
W05-1302,0.0,0.0,0.0,1998,2005,2005,1998
W10-4332,-1,0.0,-1,,2010,2010,
W12-2402,0.0,0.0,0.0,2005,2012,2012,2005
W01-0714,0.0,0.0,0.0,1987,2001,2001,1987
L08-1159,-1,0.0,-1,,2008,2008,
W06-1521,0.0,0.0,0.0,1984,2006,2006,1984
W08-1605,1.0,1.0,1.0,,,2008,2008
C04-1196,0.0,0.0,0.0,2002,2004,2004,2002
P02-1064,0.0,0.0,0.0,2001,2002,2002,2001
D11-1048,1.0,1.0,1.0,,,2011,2011
W09-2506,1.0,1.0,1.0,,,2009,2009
C90-1019,0.0,0.0,0.0,1985,1990,1990,1985
S10-1050,1.0,1.0,1.0,,,2010,2010
W12-6209,-1,0.0,-1,,2012,2012,
H91-1028,0.0,0.0,0.0,1986,1991,1991,1986
W05-1517,0.0,0.0,0.0,1979,2005,2005,1979
E95-1031,0.0,0.0,0.0,1991,1995,1995,1991
W07-1705,-1,0.0,-1,,2007,2007,
P03-2031,-1,0.0,-1,,2003,2003,
W10-2910,-1,0.0,-1,,2010,2010,
P13-2151,0.0,0.0,0.0,1996,2013,2013,1996
S12-1087,-1,0.0,-1,,2012,2012,
W06-1504,0.0,0.0,0.0,1979,2006,2006,1979
W04-2113,0.0,0.0,0.0,2002,2004,2004,2002
P00-1065,0.0,0.0,0.0,1998,2000,2000,1998
W10-3105,-1,0.0,-1,,2010,2010,
P06-4016,0.0,0.0,0.0,1994,2006,2006,1994
P13-1134,1.0,1.0,1.0,,,2013,2013
W04-2807,-1,0.0,-1,,2004,2004,
W06-2911,0.0,0.0,0.0,2005,2006,2006,2005
H94-1068,0.0,0.0,0.0,1991,1994,1994,1991
W93-0114,-1,0.0,-1,,1993,1993,
P98-2151,0.0,0.0,0.0,1987,1998,1998,1987
N12-2006,-1,0.0,-1,,2012,2012,
W09-3953,-1,0.0,-1,,2009,2009,
L08-1502,-1,0.0,-1,,2008,2008,
C00-2098,0.0,0.0,0.0,1991,2000,2000,1991
P11-2061,0.0,0.0,0.0,1983,2011,2011,1983
W12-1620,1.0,1.0,1.0,,,2012,2012
P12-2042,1.0,1.0,1.0,,,2012,2012
D10-1019,1.0,1.0,1.0,,,2010,2010
E93-1027,0.0,0.0,0.0,1990,1993,1993,1990
W08-0707,0.0,0.0,0.0,1981,2008,2008,1981
W97-0121,-1,0.0,-1,,1997,1997,
J07-4003,0.0,0.0,0.0,1999,2007,2007,1999
W05-0807,0.0,0.0,0.0,1999,2005,2005,1999
W04-2008,0.0,0.0,0.0,2003,2004,2004,2003
P06-1013,0.0,0.0,0.0,2003,2006,2006,2003
P01-1061,0.0,0.0,0.0,1994,2001,2001,1994
N13-2004,1.0,1.0,1.0,,,2013,2013
E12-2014,-1,0.0,-1,,2012,2012,
W08-0614,-1,0.0,-1,,2008,2008,
P12-1045,1.0,1.0,1.0,,,2012,2012
C08-1060,-1,0.0,-1,,2008,2008,
L08-1493,-1,0.0,-1,,2008,2008,
W10-3604,1.0,1.0,1.0,,,2010,2010
W04-1310,0.0,0.0,0.0,1995,2004,2004,1995
P12-2003,-1,0.0,-1,,2012,2012,
L08-1113,0.0,0.0,0.0,2006,2008,2008,2006
W97-0314,0.0,0.0,0.0,1992,1997,1997,1992
L08-1474,1.0,1.0,1.0,,,2008,2008
P13-4022,-1,0.0,-1,,2013,2013,
P12-2024,1.0,1.0,1.0,,,2012,2012
W10-1826,-1,0.0,-1,,2010,2010,
P83-1006,-1,0.0,-1,,1983,1983,
W05-1008,-1,0.0,-1,,2005,2005,
P08-3004,0.0,0.0,0.0,2005,2008,2008,2005
H01-1038,-1,0.0,-1,,2001,2001,
S13-2009,-1,0.0,-1,,2013,2013,
P03-1010,-1,0.0,-1,,2003,2003,
S13-2087,-1,0.0,-1,,2013,2013,
W07-1409,0.0,0.0,0.0,1998,2007,2007,1998
W11-0612,-1,0.0,-1,,2011,2011,
P11-2112,-1,0.0,-1,,2011,2011,
D10-1031,-1,0.0,-1,,2010,2010,
W07-0312,0.0,0.0,0.0,2006,2007,2007,2006
S13-1020,0.0,0.0,0.0,2005,2013,2013,2005
W10-3216,1.0,1.0,1.0,,,2010,2010
J03-1006,-1,0.0,-1,,2003,2003,
C02-1014,0.0,0.0,0.0,2000,2002,2002,2000
N10-1144,0.0,0.0,0.0,1988,2010,2010,1988
W10-3803,0.0,0.0,0.0,2006,2010,2010,2006
C02-2022,0.0,0.0,0.0,1995,2002,2002,1995
W10-1731,1.0,1.0,1.0,,,2010,2010
P01-1031,0.0,0.0,0.0,1999,2001,2001,1999
P10-2014,1.0,1.0,1.0,,,2010,2010
S12-1007,-1,0.0,-1,,2012,2012,
D13-1194,1.0,1.0,1.0,,,2013,2013
D09-1002,1.0,1.0,1.0,,,2009,2009
H91-1017,0.0,0.0,0.0,1988,1991,1991,1988
P11-4012,1.0,1.0,1.0,,,2011,2011
