Metric	Precision	Recall	F1
venueNonEmpty	0.9993435448577681	0.5303065490013934	0.692914580488545
venueNormalized	4.37636761487965E-4	2.3223409196470042E-4	3.0344409042633893E-4
authorLastNameNormalized	0.36284655251239417	0.1340496965801607	0.1957731432196177
year	0.3446907045980814	0.2418475107345944	0.2842528814021687
yearNonEmpty	1.0	0.701636300336544	0.8246607106322035
authorLastNameNormalizedFirstInitial	0.28450938843884366	0.1091557688633248	0.15777795147889379
authorFullName	0.1758403251039388	0.06722135355650484	0.0972611127220547
titleNonEmpty	1.0	0.21387954044330973	0.35239005736137663
venueExact	2.188183807439825E-4	1.1611704598235021E-4	1.5172204521316947E-4
titleExact	0.03689636462289745	0.007891377509574098	0.013001912045889102
titleNormalized	0.23398479913137893	0.05001740745038877	0.08241705708002678
bibliography	0.19674108204280458	0.34251331929385537	0.24992449161254388
